381,381,76,76,20
391,391,64,64,20
392,392,42,42,20
387,387,75,75,20
388,388,75,75,20
388,388,76,76,20
386,386,77,77,20
386,386,77,77,20
391,391,78,78,20
386,386,63,63,20
392,392,77,77,20
389,389,74,74,20
391,391,74,74,20
390,390,77,77,20
391,391,74,74,20
391,391,75,75,20
390,390,59,59,20
387,387,75,75,20
387,387,77,77,20
391,391,76,76,20
386,386,59,59,20
386,386,77,77,20
392,392,62,62,20
392,392,60,60,20
387,387,76,76,20
385,385,84,84,20
383,383,87,87,20
378,378,55,55,20
380,380,84,84,20
375,375,90,90,20
378,378,88,88,20
376,376,92,92,20
376,376,83,83,20
379,379,54,54,20
384,384,58,58,20
389,389,57,57,20
392,392,79,79,20
385,385,78,78,20
387,387,81,81,20
391,391,80,80,20
388,388,80,80,20
386,386,86,86,20
391,391,54,54,20
380,380,87,87,20
383,383,90,90,20
386,386,91,91,20
383,383,46,46,20
378,378,50,50,20
378,378,80,80,20
375,375,88,88,20
379,379,51,51,20
383,383,76,76,20
390,390,53,53,20
383,383,77,77,20
391,391,83,83,20
382,382,69,69,20
385,385,64,64,20
381,381,91,91,20
383,383,63,63,20
380,380,88,88,20
378,378,91,91,20
391,391,60,60,20
383,383,66,66,20
388,388,102,102,20
394,394,111,111,20
387,387,98,98,20
397,397,97,97,20
390,390,63,63,20
391,391,91,91,20
393,393,106,106,20
386,386,77,77,20
379,379,58,58,20
386,386,76,76,20
381,381,74,74,20
386,386,57,57,20
385,385,78,78,20
383,383,60,60,20
379,379,50,50,20
377,377,58,58,20
382,382,60,60,20
381,381,62,62,20
381,381,60,60,20
381,381,75,75,20
377,377,75,75,20
379,379,54,54,20
372,372,50,50,20
375,375,74,74,20
375,375,63,63,20
379,379,48,48,20
377,377,60,60,20
373,373,60,60,20
375,375,59,59,20
373,373,56,56,20
367,367,76,76,20
377,377,56,56,20
379,379,58,58,20
377,377,57,57,20
373,373,78,78,20
373,373,63,63,20
373,373,61,61,20
326,326,50,50,25
324,324,71,71,25
322,322,75,75,25
326,326,64,64,25
328,328,63,63,25
327,327,62,62,25
329,329,52,52,25
329,329,64,64,25
329,329,49,49,25
330,330,51,51,25
331,331,47,47,25
326,326,68,68,25
329,329,65,65,25
330,330,66,66,25
330,330,65,65,25
330,330,63,63,25
330,330,66,66,25
329,329,49,49,25
326,326,53,53,25
327,327,52,52,25
329,329,65,65,25
326,326,46,46,25
329,329,65,65,25
326,326,52,52,25
329,329,52,52,25
329,329,48,48,25
324,324,64,64,25
326,326,65,65,25
324,324,50,50,25
325,325,50,50,25
325,325,46,46,25
325,325,64,64,25
326,326,67,67,25
322,322,72,72,25
327,327,73,73,25
325,325,65,65,25
326,326,65,65,25
327,327,71,71,25
331,331,52,52,25
329,329,63,63,25
327,327,49,49,25
327,327,55,55,25
322,322,52,52,25
327,327,64,64,25
328,328,74,74,25
336,336,77,77,25
332,332,52,52,25
333,333,63,63,25
328,328,72,72,25
327,327,74,74,25
325,325,75,75,25
328,328,75,75,25
336,336,48,48,25
331,331,49,49,25
328,328,54,54,25
331,331,50,50,25
329,329,49,49,25
327,327,66,66,25
332,332,63,63,25
332,332,51,51,25
333,333,48,48,25
330,330,66,66,25
332,332,46,46,25
331,331,52,52,25
329,329,51,51,25
332,332,52,52,25
329,329,49,49,25
331,331,49,49,25
330,330,59,59,25
328,328,63,63,25
335,335,64,64,25
331,331,63,63,25
333,333,50,50,25
330,330,53,53,25
332,332,64,64,25
331,331,53,53,25
329,329,50,50,25
